name,location,phone,email,website,curriculum,languages,age_groups,schools_served
$10 a Day ChildCareBC Centre - Champlain Child Development Centre,7760 Stikine Place,604-438-5525,champlain@develop.bc.ca,,Play Based,English; Mandarin; Cantonese,2.5 - 5 yrs,
$10 a Day ChildCareBC Centre - Charleson Children's Centre - 3-5 Program,1378 Richards Street,604-718-6555,info@vsocc.org,vsocc.org,,English,2.5 - 5 yrs,
$10 a Day ChildCareBC Centre - Charleson Children's Centre - Toddler Program,1378 Richards Street,604-718-6555,info@vsocc.org,vsocc.org,,English,19 - 36 mo,
$10 a Day ChildCareBC Centre - Children's Hearing & Speech Centre of BC,3575 Kaslo Street,604-437-0255,info@childrenshearing.ca,,,English,2.5 - 5 yrs,
$10 a Day ChildCareBC Centre - Children's World Child Care Centre,475 Alexander Street,604-254-2551,cw@vjls-jh.com,,,English,2.5 - 5 yrs,
$10 a Day ChildCareBC Centre - Children's World Preschool,475 Alexander Street,604-254-2551,cw@vjls-jh.com,,,English; Japanese,2.5 - 5 yrs,
$10 a Day ChildCareBC Centre - Chuva - Toddler Program,5590 Osoyoos Crescent,604-822-5343,childcare@housing.ubc.ca,,Play Based,English,19 - 36 mo,
$10 a Day ChildCareBC Centre - City Hall Child Care Society (3-5 Program),2685 Cambie Street,604-876-8918,cityhallchildcare@telus.net,,Play Based,English; Tagalog; Mandarin; Punjabi; Hindi; Polish; Serbo-Croatian,2.5 - 5 yrs,
$10 a Day ChildCareBC Centre - City Hall Child Care Society (Infant/Toddler),2685 Cambie Street,604-876-8918,cityhallchildcare@telus.net,,Play Based,English; Tagalog; Mandarin; Punjabi; Hindi; Serbo-Croatian,19 - 36 mo,
$10 a Day ChildCareBC Centre - Citygate Early Learning and Care Centre,1192 Quebec Street,604-687-1150,awilliams@ywcavan.org,ywcavan.org,Play Based,Mandarin,2.5 - 5 yrs,
$10 a Day ChildCareBC Centre - Coho Infant Day Care,5590A Osoyoos Crescent,604-822-5343,childcare@housing.ubc.ca,,,English,0 - 18 mo,
$10 a Day ChildCareBC Centre - Collingwood Early Learning and Care Centre,5288 Joyce Street,604-435-0323,AMerton@cnh.bc.ca,,Play Based,English; Mandarin; Cantonese; Vietnamese,2.5 - 5 yrs,
$10 a Day ChildCareBC Centre - Collingwood NBH House Child Care Centre (Infant/Toddler),5288 Joyce Street,604-435-0323,AMerton@cnh.bc.ca,,Play Based,English; Spanish; Mandarin; Punjabi; Cantonese; Polish,0 - 18 mo; 19 - 36 mo,
$10 a Day ChildCareBC Centre - Collingwood NBH House Preschool,5288 Joyce Street,604-435-0323,AMerton@cnh.bc.ca,,Reggio Inspired,English; Mandarin; Punjabi; Cantonese,2.5 - 5 yrs,
$10 a Day ChildCareBC Centre - Creekside Child Development Centre (3-5 Program),1 Athletes Way,604-872-5007,creekside@develop.bc.ca,,,English,2.5 - 5 yrs,
$10 a Day ChildCareBC Centre - Creekside Child Development Centre (Infant/Toddler),1 Athletes Way,604-872-5007,creekside@develop.bc.ca,,,English,0 - 18 mo; 19 - 36 mo,
$10 a Day ChildCareBC Centre - Creekside Child Development Centre (Preschool),1 Athletes Way,604-872-5007,creekside@develop.bc.ca,,Play Based,English,2.5 - 5 yrs,
$10 a Day ChildCareBC Centre - Crosstown School Age Program,55 Expo Blvd,604-718-6243,info@vsocc.org,vsocc.org,,English,5 - 12 yrs,Elsie Roy; Crosstown
$10 a Day ChildCareBC Centre - Discovery Daycare - Toddler Program,5620 A Osoyoos Crescent,604-822-5343,childcare@housing.ubc.ca,,Play Based,English,19 - 36 mo,
$10 a Day ChildCareBC Centre - Djavad Mowafaghian YMCA Child Care Centre,4698 Oak Street,604-879-4159,dmchildcare@gv.ymca.ca,gv.ymca.ca/,,English,2.5 - 5 yrs,
$10 a Day ChildCareBC Centre - Djavad Mowafaghian YMCA Child Care Centre (Infant/Toddler),4698 Oak Street,604-879-4159,gv.childcare@bc.ymca.ca,gv.ymca.ca/,,English,0 - 18 mo; 19 - 36 mo,
$10 a Day ChildCareBC Centre - Dorothy Lam C.C. (Infant/Toddler),188 Drake Street,604-718-6555,info@vsocc.org,vsocc.org,Reggio Inspired,English; Mandarin; Punjabi; Cantonese,0 - 18 mo; 19 - 36 mo,
$10 a Day ChildCareBC Centre - Dorothy Lam Childcare Centre Over Three,188 Drake Street,604-718-6555,info@vsocc.org,vsocc.org,,English; Spanish; Mandarin; Punjabi; Cantonese; Serbo-Croatian,2.5 - 5 yrs,
$10 a Day ChildCareBC Centre - Duke Street Early Learning and Care Centre,2708 Duke Street,604-435-0323,AMerton@cnh.bc.ca,,Play Based,English; Spanish; Tagalog; Mandarin; Farsi; Cantonese,2.5 - 5 yrs,
$10 a Day ChildCareBC Centre - Eagles In The Sky - Eagles Out Of School Care,Building 103B - 1950 East Hastings Street,604-718-5856,eaglesinthesky@shaw.ca,,,English; Spanish,5 - 12 yrs,Hastings; Nelson; Xpey'
$10 a Day ChildCareBC Centre - Eaglets in the Sky - Eaglets Daycare,485 Semlin Drive,604-718-5856,eagleschildcare@shaw.ca,,Play Based,English; Spanish,2.5 - 5 yrs,
$10 a Day ChildCareBC Centre - Elsie Roy School Age Programs (School Age Care on School Grounds),150 Drake Street,604-718-6555,info@vsocc.org,vsocc.org,,English,5 - 12 yrs,Elsie Roy
$10 a Day ChildCareBC Centre - Emma's Early Learning and Care Centre (Infant/Toddler),3839 Carolina Street,604-879-1121,mikeda@ywcavan.org,ywcavan.org,,Punjabi,0 - 18 mo; 19 - 36 mo,
$10 a Day ChildCareBC Centre - False Creek YMCA Child Care,1399 Fountain Way,604-732-7733,gv.childcare@bc.ymca.ca,gv.ymca.ca/,Reggio Inspired,English; Greek,2.5 - 5 yrs,
$10 a Day ChildCareBC Centre - Fraserview Child Development Centre,6363 Lanark Street,236-521-8453,fraserview@develop.bc.ca,,,English,2.5 - 5 yrs,
$10 a Day ChildCareBC Centre - Fraserview Child Development Centre,Rm 312 - 6363 Lanark Street,236-521-8453,fraserview@develop.bc.ca,,,English,2.5 - 5 yrs,
$10 a Day ChildCareBC Centre - Fraserview Child Development Centre (Infant/Toddler),6363 Lanark Street,236-521-8453,fraserview@develop.bc.ca,,,English,0 - 18 mo; 19 - 36 mo,
$10 a Day ChildCareBC Centre - Frog Hollow NBH House's Satellite Daycare,3260 East Broadway,604-428-7510,sarah@froghollow.bc.ca,froghollow.bc.ca,Reggio Inspired,English,19 - 36 mo,
$10 a Day ChildCareBC Centre - Frog Hollow NBH House's Satellite Daycare (3-5 Program),3260 East Broadway,604-428-7510,sarah@froghollow.bc.ca,froghollow.bc.ca,Play Based,English,2.5 - 5 yrs,
$10 a Day ChildCareBC Centre - Grandview Terrace Childcare Centre,2075 Woodland Drive,604-718-5846,grandviewcc@shawbiz.ca,,Play Based,English; Spanish; Russian; French; Italian,2.5 - 5 yrs,
$10 a Day ChildCareBC Centre - Grandview Terrace Childcare II (Out of School),2065 Woodland Drive,604-718-5846,grandviewcc@shawbiz.ca,,,English; Hindi; French; Cantonese,5 - 12 yrs,Grandview; Queen Alexandra; Anne Hebert; Queen Victoria Annex
$10 a Day ChildCareBC Centre - Harbourview Daycare,540 North Penticton Street,604-254-5233,childcare@kiwassa.ca,,Play Based,English; Mandarin; Hindi; Cantonese,2.5 - 5 yrs,
$10 a Day ChildCareBC Centre - Hastings Park Child Care Centre (Infant/Toddler),150 Renfrew N,236-521-4589,childcare@kiwassa.ca,,,English,0 - 18 mo; 19 - 36 mo,
$10 a Day ChildCareBC Centre - Hastings Park Childcare (3-5 Program),150 Renfrew N,236-521-4589,childcare@kiwassa.ca,,,English,2.5 - 5 yrs,
$10 a Day ChildCareBC Centre - Hastings Park Childcare (Multi-Age),Rm 102A - 150 Renfrew N,236-521-4589,childcare@kiwassa.ca,,,English,5 - 12 yrs; 2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,Hastings
$10 a Day ChildCareBC Centre - Huckleberry Daycare - Toddler Program,101 - 2725 Osoyoos Cresent,604-822-5343,childcare@housing.ubc.ca,,Play Based,English; Mandarin; Serbian,19 - 36 mo,
$10 a Day ChildCareBC Centre - Hummingbird Daycare (Infant/Toddler),6363 Agronomy Rd,604-822-5343,childcare@housing.ubc.ca,,,English,0 - 18 mo; 19 - 36 mo,
$10 a Day ChildCareBC Centre - International Village Children's Centre - 3 - 5 Program,680 Abbott Street,604-718-6555,info@vsocc.org,vsocc.org,,English,2.5 - 5 yrs,
$10 a Day ChildCareBC Centre - International Village Children's Centre (Infant/Toddler),680 Abbott,604-718-6555,info@vsocc.org,vsocc.org,,English,0 - 18 mo; 19 - 36 mo,
$10 a Day ChildCareBC Centre - Kids at G.F. Strong (3-5 Program),4255 Laurel Street,604-737-6256,kidsatgfstrong@develop.bc.ca,,Play Based,English,2.5 - 5 yrs,
$10 a Day ChildCareBC Centre - Kids at G.F. Strong (Infant/Toddler),4255 Laurel Street,604-737-6256,kidsatgfstrong@develop.bc.ca,,Play Based,English,0 - 18 mo; 19 - 36 mo,
$10 a Day ChildCareBC Centre - Kids at Heather (Infant/Toddler),710 West 12th Avenue,604-873-9011,gv.childcare@bc.ymca.ca,gv.ymca.ca/,Bilingual,English; Spanish,0 - 18 mo; 19 - 36 mo,
$10 a Day ChildCareBC Centre - Kids at Heather Daycare (Priority to Employees),710 West 12th Avenue,604-873-9011,gv.childcare@bc.ymca.ca,gv.ymca.ca/,Play Based,English; Spanish; Tagalog; Hindi; Cantonese,2.5 - 5 yrs,
$10 a Day ChildCareBC Centre - Kids at Marine YMCA Child Care Centre,8088 Nunavut Lane,604-336-9941,gv.childcare@bc.ymca.ca,gv.ymca.ca/,,English,2.5 - 5 yrs,
$10 a Day ChildCareBC Centre - Kids at Marine YMCA Child Care Centre - Toddler Program,8088 Nunavut Lane,604-336-9941,gv.childcare@bc.ymca.ca,gv.ymca.ca/,,English,19 - 36 mo,
$10 a Day ChildCareBC Centre - Kids in General Child Development Centre,889 West 13th Avenue,604-875-5699,kidsingeneral@develop.bc.ca,,Play Based,English; Punjabi; Italian,2.5 - 5 yrs,
$10 a Day ChildCareBC Centre - Kids in General Child Development Centre (Infant/Toddler),889 West 13th Avenue,604-875-5699,kidsingeneral@develop.bc.ca,,Play Based,English; Punjabi; Italian,0 - 18 mo; 19 - 36 mo,
$10 a Day ChildCareBC Centre - Kittiwake Group Day Care,2815 Revelstoke Court,604-822-5343,childcare@housing.ubc.ca,,,English,2.5 - 5 yrs,
$10 a Day ChildCareBC Centre - Kiwassa Variety Club Daycare,2425 Oxford Street,604-254-5401,loric@kiwassa.ca,,Play Based,English; Mandarin; Punjabi; Cantonese; Vietnamese,2.5 - 5 yrs,
$10 a Day ChildCareBC Centre - Langara Child Development Centre,100 West 49th Avenue,604-323-5204,daycare@langara.ca,,Play Based,English; Spanish; Tagalog; Mandarin; French; Cantonese,2.5 - 5 yrs,
$10 a Day ChildCareBC Centre - Langara Child Development Centre - Toddler Program,100 West 49th Avenue,604-323-5204,daycare@langara.ca,,Play Based,English,19 - 36 mo,
$10 a Day ChildCareBC Centre - Langara Child Development Centre II,100 West 49th Avenue,604-323-5204,daycare@langara.ca,,Play Based,English; Spanish; Mandarin; Cantonese; German,2.5 - 5 yrs,
$10 a Day ChildCareBC Centre - Learning Tree Group Day Care,4103 Brant Street,604-874-4921,bvilla.tree@yahoo.ca,,,English,2.5 - 5 yrs,
$10 a Day ChildCareBC Centre - Leslie Diamond Early Learning and Care Centre (Infant/Toddler),535 Hornby Street,604-895-5817,Ssharma@ywcavan.org,ywcavan.org,Play Based,Tagalog,0 - 18 mo; 19 - 36 mo,
$10 a Day ChildCareBC Centre - Library Square Child Care (Infant/Toddler),301-345 Robson Street,604-718-6555,info@vsocc.org,vsocc.org,Play Based,English; Mandarin; Serbian; Cantonese; Serbo-Croatian,0 - 18 mo; 19 - 36 mo,
$10 a Day ChildCareBC Centre - Library Square Child Care Over Three,401-345 Robson Street,604-718-6555,info@vsocc.org,vsocc.org,Play Based,English; Mandarin; Punjabi; Cantonese,2.5 - 5 yrs,
$10 a Day ChildCareBC Centre - Lilliput Daycare (Toddler),5690 A Osoyoos Crescent,604-822-5343,childcare@housing.ubc.ca,,Play Based,English; Farsi,19 - 36 mo,
$10 a Day ChildCareBC Centre - Little Beach YMCA Child Care Centre (Toddler),1475 Burrard Street,604-683-3417,gv.childcare@bc.ymca.ca,gv.ymca.ca/,Play Based,English; Serbian; Filipino,19 - 36 mo,
$10 a Day ChildCareBC Centre - Little Goslings - Infant Program,5590 B Osoyoos Crescent,604-822-5343,childcare@housing.ubc.ca,,Play Based,English,0 - 18 mo,
$10 a Day ChildCareBC Centre - Marpole YMCA Child Care Centre,8188 Lord Street,236-476-1223,gv.childcare@bc.ymca.ca,gv.ymca.ca/,,English,2.5 - 5 yrs,
$10 a Day ChildCareBC Centre - Marpole YMCA Child Care Centre (Infant/Toddler),8188 Lord Street,236-476-1223,gv.childcare@bc.ymca.ca,gv.ymca.ca/,,English,0 - 18 mo; 19 - 36 mo,
$10 a Day ChildCareBC Centre - Mole Hill YMCA Child Care,1164 Comox Street,604-684-9628,gv.childcare@bc.ymca.ca,gv.ymca.ca/,Reggio Inspired,English; Farsi; Greek,2.5 - 5 yrs,
$10 a Day ChildCareBC Centre - Nelson Park YMCA Preschool,1155 Thurlow Street,604-417-6257,gv.childcare@bc.ymca.ca,gv.ymca.ca/,,English,2.5 - 5 yrs,
$10 a Day ChildCareBC Centre - Osler YMCA Kids Club (School Age on School Grounds),5970 Selkirk Street,604-818-9129,ymcakidsclubs@bc.ymca.ca,gv.ymca.ca/,,English,5 - 12 yrs,Osler
$10 a Day ChildCareBC Centre - Our House Out of School Care,123 West 16th Avenue,604-707-0311,mtpleasantcc@vancouver.ca,mountpleasantcc.ca,Emergent/Play Based,English,5 - 12 yrs,Fraser
$10 a Day ChildCareBC Centre - Owl at the Barn (3-5 Program),2323 Main Mall UBC,604-822-5343,childcare@housing.ubc.ca,,,English,2.5 - 5 yrs,
$10 a Day ChildCareBC Centre - Owl at the Barn (Infant/Toddler),2323 Main Mall,604-822-5343,childcare@housing.ubc.ca,,,English,0 - 18 mo; 19 - 36 mo,
$10 a Day ChildCareBC Centre - Pacific Spirit Child Care,5580 (A) Osoyoos Cresent,604-822-5343,childcare@housing.ubc.ca,,,English; Spanish; Punjabi; French,2.5 - 5 yrs,
$10 a Day ChildCareBC Centre - Pioggia Group Day Care - Toddler Program,2881 Acadia Road,604-822-5343,childcare@housing.ubc.ca,,,English,19 - 36 mo,
$10 a Day ChildCareBC Centre - Pioggia Group Day Care (3-5 Program),2881 Acadia Road,604-822-5343,childcare@housing.ubc.ca,,,English,2.5 - 5 yrs,
$10 a Day ChildCareBC Centre - Playhouse Child Development Centre (Infant/Toddler),4107 Brant Street,604-873-6448,playhouse@develop.bc.ca,,Play Based,English,0 - 18 mo; 19 - 36 mo,
$10 a Day ChildCareBC Centre - Portside YMCA Child Care (3-5 Program),151 West Cordova Street,236-521-8610,gv.childcare@bc.ymca.ca,gv.ymca.ca/,,English,2.5 - 5 yrs,
$10 a Day ChildCareBC Centre - Portside YMCA Child Care (Toddler),151 West Cordova Street,236-521-8610,gv.childcare@bc.ymca.ca,gv.ymca.ca/,,English,19 - 36 mo,
$10 a Day ChildCareBC Centre - Quayside Child Care (Infant/Toddler),1011 Marinaside Crescent,604-718-6555,info@vsocc.org,vsocc.org,,English; Spanish,0 - 18 mo; 19 - 36 mo,
$10 a Day ChildCareBC Centre - Quayside Children's Centre (3-5 Program),1011 Marinaside Crescent,604-718-6555,info@vsocc.org,vsocc.org,,English; Spanish; Mandarin; French,2.5 - 5 yrs,
$10 a Day ChildCareBC Centre - Raven,5580 B Osoyoos Cresent,604-822-9717,childcare@housing.ubc.ca,,Reggio Inspired,English,2.5 - 5 yrs,
$10 a Day ChildCareBC Centre - Ray-Cam Centre Out of School Care,920 East Hastings Street,604-257-6949,raycamcc@vancouver.ca,,,English; Spanish; Cantonese; Portugese; Vietnamese,5 - 12 yrs,Strathcona; Seymour
$10 a Day ChildCareBC Centre - Raymur Place Day Care,920 East Hastings Street,604-257-6937,raycamcc@vancouver.ca,,Reggio Inspired,English; Spanish; Tagalog,2.5 - 5 yrs,
$10 a Day ChildCareBC Centre - Renfrew Station YMCA Child Care (3-5 Program),Bldg 6 - 2925 Hebb Avenue,604-251-2436,gv.childcare@bc.ymca.ca,gv.ymca.ca/,,English,2.5 - 5 yrs,
$10 a Day ChildCareBC Centre - Renfrew Station YMCA Child Care (Infant/Toddler),Bldg 6 - 2925 Hebb Avenue,604-251-2436,gv.childcare@bc.ymca.ca,gv.ymca.ca/,,English,0 - 18 mo; 19 - 36 mo,
$10 a Day ChildCareBC Centre - Sade Child Care Centre,2881 (C) Acadia Road,604-822-5343,childcare@housing.ubc.ca,,,English,0 - 18 mo; 19 - 36 mo,
$10 a Day ChildCareBC Centre - Salal Group Day Care,5655 Osoyoos Crescent,604-822-5343,childcare@housing.ubc.ca,,,English,2.5 - 5 yrs,
$10 a Day ChildCareBC Centre - Salmonberry 3 to 5 Childcare,8131 Chester Street,604-324-9894,jeanette.wong@southvan.org,,,English,2.5 - 5 yrs,
$10 a Day ChildCareBC Centre - Salmonberry Toddler Childcare,8131 Chester Street,604-324-9891,jeanette.wong@southvan.org,,,English,19 - 36 mo,
$10 a Day ChildCareBC Centre - Sandpiper Group Day Care,2805 Revelstoke,604-822-5343,childcare@housing.ubc.ca,,,English,2.5 - 5 yrs,
$10 a Day ChildCareBC Centre - Sapphire Children's Centre,1170 West Pender Street,604-718-6555,info@vsocc.org,vsocc.org,,English,2.5 - 5 yrs,
$10 a Day ChildCareBC Centre - Sapphire Children's Centre - Toddler Program,1170 West Pender Street,604-718-6555,info@vsocc.org,vsocc.org,,English,19 - 36 mo,
$10 a Day ChildCareBC Centre - Sarah House Early Learning and Care Centre,5729 Wales Street,604-435-0323,AMerton@cnh.bc.ca,,Play Based,English; Tagalog; Mandarin; Farsi; Hindi; Cantonese,2.5 - 5 yrs,
$10 a Day ChildCareBC Centre - Saw-whet Child Care Centre,2850 B Salmo Ct,604-822-5343,childcare@housing.ubc.ca,,,English,2.5 - 5 yrs,
$10 a Day ChildCareBC Centre - Sea Star Children's Centre (3-5 Program),1451 Homer Street,604-718-6555,info@vsocc.org,vsocc.org,,English,2.5 - 5 yrs,
$10 a Day ChildCareBC Centre - Sea Star Children's Centre (Infant/Toddler),1451 Homer Street,604-718-6555,info@vsocc.org,vsocc.org,,English,0 - 18 mo; 19 - 36 mo,
$10 a Day ChildCareBC Centre - Seymour YMCA Kids Club,1130 Keefer Street,778-960-6487,ymcakidsclubs@bc.ymca.ca,gv.ymca.ca/,,English,5 - 12 yrs,Seymour
$10 a Day ChildCareBC Centre - Sitka Daycare Centre (Infant/Toddler),5620 B Osoyoos Crescent,604-822-5343,childcare@housing.ubc.ca,,,English,0 - 18 mo; 19 - 36 mo,
$10 a Day ChildCareBC Centre - South Hill Child Care Centre - Over Three,508 East 45th Avenue,604-327-8622,southhillchildcare@gmail.com,,Reggio Inspired,English; Tagalog; Mandarin,2.5 - 5 yrs,
$10 a Day ChildCareBC Centre - Strathcona Community Centre (Out of School Care),601 Keefer Street,604-713-1848,veronica.light@vancouver.ca,,,English,5 - 12 yrs,Strathcona
$10 a Day ChildCareBC Centre - Strathcona Community Centre Group Child Care - School Age - #1,601 Keefer Street,604-713-1854,veronica.light@vancouver.ca,,,English,5 - 12 yrs,Strathcona
$10 a Day ChildCareBC Centre - Strathcona Community Centre Group Child Care - School Age - #2,592 East Pender Street,604-713-1854,veronica.light@vancouver.ca,,,English,5 - 12 yrs,Strathcona
$10 a Day ChildCareBC Centre - Strathcona Community Centre Preschool,Portable Unit- 601 Keefer Street,604-713-1838,veronica.light@vancouver.ca,,Play Based,English; Mandarin; Cantonese,2.5 - 5 yrs,
$10 a Day ChildCareBC Centre - Strathcona Preschool #2,Rm. E001-592 E. Pender Street,604-713-1855,veronica.light@vancouver.ca,,Play Based,English; Cantonese,2.5 - 5 yrs,
$10 a Day ChildCareBC Centre - Summer of '73 Daycare,5690 B Osoyoos Crescent,604-822-5343,childcare@housing.ubc.ca,,Play Based,English; Mandarin; French; Polish,2.5 - 5 yrs,
$10 a Day ChildCareBC Centre - Terry Tayler Early Learning and Care Centre,2355 East 30th Avenue,604-433-4459,AMerton@cnh.bc.ca,,,English,0 - 18 mo; 19 - 36 mo,
$10 a Day ChildCareBC Centre - Terry Tayler Early Learning and Care Centre (3-5 Program),2355 East 30 Avenue,604-433-4459,AMerton@cnh.bc.ca,,,English,2.5 - 5 yrs,
$10 a Day ChildCareBC Centre - The Collective Tennyson Childcare Centre (School Age),2650 Maple Street,604-736-3588,amandag@kitshouse.org,,Reggio Inspired,English,5 - 12 yrs,Tennyson
$10 a Day ChildCareBC Centre - The Junction Children's Centre - (3-5 Program),1059 Main Street,604-718-6555,info@vsocc.org,vsocc.org,,English,2.5 - 5 yrs,
$10 a Day ChildCareBC Centre - The Junction Children's Centre - Toddler Program,1059 Main Street,604-718-6555,info@vsocc.org,vsocc.org,,English,19 - 36 mo,
$10 a Day ChildCareBC Centre - The Mark Children's Centre - Toddler Program,#100 - 1362 Seymour Street,604-718-6555,info@vsocc.org,vsocc.org,,English,19 - 36 mo,
$10 a Day ChildCareBC Centre - The Mark Children's Centre (3-5 Program),#100 - 1362 Seymour Street,604-718-6555,info@vsocc.org,vsocc.org,,English,2.5 - 5 yrs,
$10 a Day ChildCareBC Centre - The Montessori Daycare Society (3-5 Program),2005 West 10th Avenue,604-731-6917,info.montessoridaycare@gmail.com,mdcsvancouver.com/,Montessori,English,2.5 - 5 yrs,
$10 a Day ChildCareBC Centre - The Montessori Daycare Society (Infant/Toddler),2005 West 10th Avenue,604-731-6917,info.montessoridaycare@gmail.com,mdcsvancouver.com/,Montessori,English,0 - 18 mo; 19 - 36 mo,
$10 a Day ChildCareBC Centre - The Village @ Lord Nelson (3-5 Program),1355 Garden Drive,604-251-4311,annac@froghollow.bc.ca,froghollow.bc.ca,,English,2.5 - 5 yrs,
$10 a Day ChildCareBC Centre - The Village @ Lord Nelson (Infant/Toddler),1355 Garden Drive,604-251-4133,annac@froghollow.bc.ca,froghollow.bc.ca,,English,0 - 18 mo; 19 - 36 mo,
$10 a Day ChildCareBC Centre - The Village @ Lord Nelson (School Age),1355 Garden Drive,604-251-4133,frankie@froghollow.bc.ca,froghollow.bc.ca,,English,5 - 12 yrs,Nelson
$10 a Day ChildCareBC Centre - Thunderbird N. Centre Nursery School,2311 Cassiar Street,604-713-1827,Thunderbird.Preschool@Vancouver.ca,,Play Based,English; Spanish; Mandarin; Cantonese,2.5 - 5 yrs,
$10 a Day ChildCareBC Centre - Thunderbird Out of School Care,2311 Cassiar Street,604-713-1830,tbirdosc@gmail.com,,,English; Cantonese; Italian,5 - 12 yrs,Thunderbird
$10 a Day ChildCareBC Centre - Tillicum Daycare,5660 B Osoyoos Crescent,604-822-5343,childcare@housing.ubc.ca,,,English; Japanese; Mandarin,2.5 - 5 yrs,
$10 a Day ChildCareBC Centre - Vista Point YMCA Childcare Centre (Priority to UNA residents),#100 - 5828 Thunderbird Blvd,604-222-0552,gv.childcare@bc.ymca.ca,gv.ymca.ca/,,English,2.5 - 5 yrs,
$10 a Day ChildCareBC Centre - Water View YMCA Child Care - Toddler Program,150 Water Street,236-521-8606,gv.childcare@bc.ymca.ca,gv.ymca.ca/,,English,19 - 36 mo,
$10 a Day ChildCareBC Centre - Water View YMCA Child Care (3-5 Program),150 Water Street,236-521-8606,gv.childcare@bc.ymca.ca,gv.ymca.ca/,,English,2.5 - 5 yrs,
$10 a Day ChildCareBC Centre - Waterfront Children's Centre (3-5 Program),#505-1067 West Cordova Street,604-718-6555,info@vsocc.org,vsocc.org,,English,2.5 - 5 yrs,
