name,contact_date,neighbourhood,vacancies,location,phone,email,website,languages,age_groups,curriculum,match_method,match_score
Kitsilano Child Care Program (Group Child Care for 30 months to 5 years old),August 6,Kitsilano,"1 spot available for 3-5 years old starting in September, open 8am - 5:30pm Monday - Friday",2690 Larch Street,604-257-6976,sandy.galpin@vancouver.ca,kitscc.com/preschooler-programs/,English,2.5 - 5 yrs,,phone,100.0
Little Stars Child Care Center (Licensed Group Care),August 5,Sunset,2 Spots available for 8 months and over in October,7308 Main Street,778-829-9650,arzoomashal@hotmail.com,,English,0 - 18 mo; 19 - 36 mo; 2.5 - 5 yrs; 5 - 12 yrs,,phone,100.0
Superior In-Home Multi-Age Child Care,August 5,Kensington-Cedar Cottage,1 spot available for 2 years old and over,2003 East 10th Avenue,604-565-9856,farshidmotahid@yahoo.ca,,English; Farsi; Urdu; Punjabi,0 - 18 mo; 19 - 36 mo; 2.5 - 5 yrs; 5 - 12 yrs,,phone,100.0
Sunny House Licensed Family Child Care,August 5,West End,1 spot available for 15 months old and over available in September,#605 - 1050 Smithe Street,778-823-4045,salykavoosi@yahoo.com,,English; Farsi,0 - 18 mo; 19 - 36 mo; 2.5 - 5 yrs; 5 - 12 yrs,,phone,100.0
Tweety Blue Bird II,August 4,Sunset,2 spots available for 2.5 to 5 years old starting September,425 East 56th Avenue,778-855-9546,tweetybluebirdmain@gmail.com,,English,2.5 - 5 yrs,,name,100.0
Suzy Child Care (RLNR),July 31,Kitsilano,1 spot available starting October for 9 to 24 months Extended hours (Saturday and Sunday and M-F in the late afternoon),,604-721-5445,,,English; Farsi; Turkish,2.5 - 5 yrs,,phone,100.0
Starlet Academy In-Home Multi-Age Child Care,July 31,Victoria-Fraserview,2 spots available starting August 15 for 3-5 years old.,2135 Newport Avenue,236-869-1331,starlet.daycare@gmail.com,,English,2.5 - 5 yrs,,phone,100.0
West Point Grey Community Centre Preschool,July 29,West Point Grey,"5 spots available in September. *4-hour class, from 9:00 AM to 1:00 PM, Monday – Friday (no infant/toddler)",4397 West 2nd Avenue,604-257-8140,andrea.mah@vancouver.ca,,English,2.5 - 5 yrs,,phone,100.0
Tisdall Corner Licensed Family Child Care,July 29,Oakridge,1 spot available for 12 months and over Monday – Friday 8am-5pm,5831 Tisdall Street,778-839-4163,aki.yasmin97@gmail.com,,English; Japanese,0 - 18 mo; 19 - 36 mo; 2.5 - 5 yrs,,phone,100.0
Sliver Moon Childcare and Early Learning Centre,July 28,Renfrew-Collingwood,3 spots available for 1 year old – 5 years old starting in September,2771 East 27th Avenue,778-867-4226,nilushakya@yahoo.com,,English,0 - 18 mo; 19 - 36 mo; 2.5 - 5 yrs; 5 - 12 yrs,,phone,100.0
Ma Montessori Daycare & Preschool,July 28,Renfrew-Collingwood,5 spots available for 30 months to 5 years old,3078 Renfrew Street,236-986-9760,rmc.mamontessori@gmail.com,,Spanish; English,2.5 - 5 yrs,Montessori,phone,100.0
IKOKA Child Care Learning Center,July 28,Sunset,2 full-time spots for 30 months old and over available now 2 full-time spots for 30 months old and over starting September 2026,7808 Ross Street,778-861-7446,ikokachildcarecenter@outlook.com,,English,2.5 - 5 yrs,,name,82.5
Rainbow Day Licensed Family Child Care,July 24,Mount Pleasant,1 spot for 48 months old and over 1 spot for 24 months to 36 months old,#207-228 East 7th Avenue,236-777-6751,rainbowday4u@yahoo.com,,English,0 - 18 mo; 19 - 36 mo; 2.5 - 5 yrs,,phone,100.0
Arbutus Child Care & Fine Art Learning Centre (Infant/Toddler),July 24,Arbutus Ridge,Now offering weekend childcare (Sat & Sun) Drop – in program spots available,4051 Macdonald Street,604-223-5888,info@arbutuschildcare.com,arbutuschildcare.com/,English,0 - 18 mo; 19 - 36 mo,,phone,100.0
Small House Licensed Family Child Care,July 24,Fairview,1 spot for 20 months and over,#112 - 633 West 8th Avenue,604-760-4009,childshouse0@gmail.com,,English; Serbian,0 - 18 mo; 19 - 36 mo; 2.5 - 5 yrs,,name,100.0
Maple House Academy (Group Child Care under 3),July 23,Dunbar-Southlands,Spots available for Infant Program (ages 8 months to 18 months): • 1 full-time space (potentially available starting in October) • 2 part-time spaces (2 days per week) *Drop-off and urgent childcare available,2979 West 41st Avenue,604-275-6666,info.mhchildcare@gmail.com,,English; Mandarin; Cantonese,0 - 18 mo; 19 - 36 mo,Reggio Inspired,phone,100.0
Kensington Preschool (Kensington Community Centre),July 22,Kensington- Cedar Cottage,12 spots available for 3-5 years old starting on September 8th,4065 Victoria Drive,604-874-4231,ccnh@cedarcottage.org,,English; Mandarin; Cantonese; French,5 - 12 yrs,,phone,100.0
Los Patitos In-Home Multi-Age Child Care,July 22,Oakridge,2 spots available for 3-5 years old *English & Spanish Speaking,185 West 45th Avenue,604-323-3723,lospatitoslc@gmail.com,,Spanish; English,0 - 18 mo; 19 - 36 mo; 2.5 - 5 yrs,,name,100.0
Chee in a Tree In-Home Multi- Age Child Care,July 22,Oakridge,1 spot starting September for 30 months to 5 years old,938 West 52nd Avenue,604-618-8584,cheeinatree@gmail.com,cheeinatree.com,English,0 - 18 mo; 19 - 36 mo,,phone,100.0
Discover Possibilities Childcare,July 22,Renfrew-Collingwood,1 spot available in September for 30months to 5 years old,3192 Queens Avenue,604-336-6488,dpcc2202@gmail.com,,English,2.5 - 5 yrs,,phone,100.0
Moloo’s Learning Centre (Group Child Care for under 3),July 15,Kensington-Cedar Cottage,1 spot available for September 2026,700 East 59th Avenue,778-955-2743,moberlychildcare@outlook.com,,English,0 - 18 mo; 19 - 36 mo,,phone,100.0
Moloo’s Learning Centre 59th (Group Child Care for under 3),July 15,Sunset,2 spots available for September 2026,1340 East 59th Avenue,778-867-3185,info@molooslearning.com,,English,0 - 18 mo; 19 - 36 mo,,phone,100.0
Creative Kids Montessori & Fine Arts Academy,July 15,Arbutus Ridge,Spot available starting September 2026 for 3 to 6 years old,2663 West King Edward Avenue,604-568-8059,info@creativekidsmontessori.com,,English,2.5 - 5 yrs,Montessori,name,88.0
First Avenue Licensed Family Child Care,July 9,Mount Pleasant,1 spot available for 3 years old and over starting now and 1 spot available for 3 years old and over starting in September,162 Walter Hardwick Avenue,778-839-9999,,,English,2.5 - 5 yrs,,phone,100.0
Gingerbread House Day Care,July 3,Killarney,September enrolment is open for 3 to 5 years old,3350 East 54th Avenue,604-433-4819,,day-care-vancouver.com,English,2.5 - 5 yrs,Play Based,phone,100.0
Monkey Tree Montessori Preschool,July 3,Hastings-Sunrise,5 spots for morning session (8:30am-11:30am) for 2.5 to 5 years old starting September 2026 10 spots for afternoon session (12:15pm to 3:15pm) for 2.5 to 5 years old starting September 2026,1394 Nanaimo Street,604-677-8339,monkeytreemontessori@gmail.com,monkeytreemontessori.com/,English,2.5 - 5 yrs,Montessori,phone,100.0
$10/day Child Care - Children’s World Child Care Centre,July 2,Strathcona,Spots available for 3 years and 4 years old Starting in September 2026,475 Alexander Street,604-254-2551,cw@vjls-jh.com,,English,2.5 - 5 yrs,,phone,100.0
Little Seeds Montessori & Play Child Care In-Home Multi- Age,July 2,Fairview,5 spots for 30 months and over *does not accept infant and toddler*,106 - 788 West 13th Avenue,778-859-9815,,,English,0 - 18 mo; 19 - 36 mo; 2.5 - 5 yrs; 5 - 12 yrs,,phone,100.0
Tiny Stars Licensed Family Child Care,June 26,Yaletown,spot available for 12mths to 3 years old starting in September Monday – Thursday 8:30am-5pm,Unit 419 - 1267 Marinaside Crescent,604-724-6886,olivera.roncevic@novuscom.net,,English; Serbian,0 - 18 mo; 19 - 36 mo,,phone,100.0
Sunny Child Care (RLNR),June 25,Downtown,1 spot available starting September 2026 for 12 months to 15 months,,604-317-4929,,,English; Hindi,0 - 18 mo; 19 - 36 mo,,phone,100.0
