Program Name,Program Type,Location,Phone,Email,Website,Languages,Age Groups,Curriculum,Schools Served
$10 a Day ChildCareBC Centre - Collingwood Early Learning and Care Centre,Group Daycare (30mths - School Age),5288 Joyce Street,604-435-0323,AMerton@cnh.bc.ca,,English; Mandarin; Cantonese; Vietnamese,2.5 - 5 yrs,Play Based,
$10 a Day ChildCareBC Centre - Collingwood NBH House Child Care Centre (Infant/Toddler),Group Daycare (under 36 mths),5288 Joyce Street,604-435-0323,AMerton@cnh.bc.ca,,English; Spanish; Mandarin; Punjabi; Cantonese; Polish,0 - 18 mo; 19 - 36 mo,Play Based,
$10 a Day ChildCareBC Centre - Collingwood NBH House Preschool,Preschool (30mths - School Age),5288 Joyce Street,604-435-0323,AMerton@cnh.bc.ca,,English; Mandarin; Punjabi; Cantonese,2.5 - 5 yrs,Reggio Inspired,
$10 a Day ChildCareBC Centre - Creekside Child Development Centre (3-5 Program),Group Daycare (30mths - School Age),1 Athletes Way,604-872-5007,creekside@develop.bc.ca,,English,2.5 - 5 yrs,,
$10 a Day ChildCareBC Centre - Creekside Child Development Centre (Infant/Toddler),Group Daycare (under 36 mths),1 Athletes Way,604-872-5007,creekside@develop.bc.ca,,English,0 - 18 mo; 19 - 36 mo,,
$10 a Day ChildCareBC Centre - Creekside Child Development Centre (Preschool),Preschool (30mths - School Age),1 Athletes Way,604-872-5007,creekside@develop.bc.ca,,English,2.5 - 5 yrs,Play Based,
$10 a Day ChildCareBC Centre - Crosstown School Age Program,Group Care School Age,55 Expo Blvd,604-718-6243,info@vsocc.org,http://www.vsocc.org/,English,5 - 12 yrs,,Elsie Roy; Crosstown
$10 a Day ChildCareBC Centre - Discovery Daycare - Toddler Program,Group Daycare (under 36 mths),5620 A Osoyoos Crescent,604-822-5343,childcare@housing.ubc.ca,,English,19 - 36 mo,Play Based,
$10 a Day ChildCareBC Centre - Djavad Mowafaghian YMCA Child Care Centre,Group Daycare (30mths - School Age),4698 Oak Street,604-879-4159,dmchildcare@gv.ymca.ca,https://gv.ymca.ca/,English,2.5 - 5 yrs,,
$10 a Day ChildCareBC Centre - Djavad Mowafaghian YMCA Child Care Centre (Infant/Toddler),Group Daycare (under 36 mths),4698 Oak Street,604-879-4159,gv.childcare@bc.ymca.ca,https://gv.ymca.ca/,English,0 - 18 mo; 19 - 36 mo,,
$10 a Day ChildCareBC Centre - Dorothy Lam C.C. (Infant/Toddler),Group Daycare (under 36 mths),188 Drake Street,604-718-6555,info@vsocc.org,http://www.vsocc.org/,English; Mandarin; Punjabi; Cantonese,0 - 18 mo; 19 - 36 mo,Reggio Inspired,
$10 a Day ChildCareBC Centre - Dorothy Lam Childcare Centre Over Three,Group Daycare (30mths - School Age),188 Drake Street,604-718-6555,info@vsocc.org,http://www.vsocc.org/,English; Spanish; Mandarin; Punjabi; Cantonese; Serbo-Croatian,2.5 - 5 yrs,,
$10 a Day ChildCareBC Centre - Duke Street Early Learning and Care Centre,Group Daycare (30mths - School Age),2708 Duke Street,604-435-0323,AMerton@cnh.bc.ca,,English; Spanish; Tagalog; Mandarin; Farsi; Cantonese,2.5 - 5 yrs,Play Based,
$10 a Day ChildCareBC Centre - Eagles In The Sky - Eagles Out Of School Care,Group Care School Age,Building 103B - 1950 East Hastings Street,604-718-5856,eaglesinthesky@shaw.ca,,English; Spanish,5 - 12 yrs,,Hastings; Nelson; Xpey'
$10 a Day ChildCareBC Centre - Eaglets in the Sky - Eaglets Daycare,Group Daycare (30mths - School Age),485 Semlin Drive,604-718-5856,eagleschildcare@shaw.ca,,English; Spanish,2.5 - 5 yrs,Play Based,
$10 a Day ChildCareBC Centre - Elsie Roy School Age Programs (School Age Care on School Grounds),Group Care School Age,150 Drake Street,604-718-6555,info@vsocc.org,http://www.vsocc.org/,English,5 - 12 yrs,,Elsie Roy
$10 a Day ChildCareBC Centre - Emma's Early Learning and Care Centre (Infant/Toddler),Group Daycare (under 36 mths),3839 Carolina Street,604-879-1121,mikeda@ywcavan.org,http://www.ywcavan.org/,English; Mandarin; Punjabi; Hindi; Cantonese; Bengali,0 - 18 mo; 19 - 36 mo,,
$10 a Day ChildCareBC Centre - False Creek YMCA Child Care,Group Daycare (30mths - School Age),1399 Fountain Way,604-732-7733,gv.childcare@bc.ymca.ca,https://gv.ymca.ca/,English; Greek,2.5 - 5 yrs,Reggio Inspired,
$10 a Day ChildCareBC Centre - Fraserview Child Development Centre,Group Daycare (30mths - School Age),6363 Lanark Street,236-521-8453,fraserview@develop.bc.ca,,English,2.5 - 5 yrs,,
$10 a Day ChildCareBC Centre - Fraserview Child Development Centre,Group Daycare (30mths - School Age),Rm 312 - 6363 Lanark Street,236-521-8453,fraserview@develop.bc.ca,,English,2.5 - 5 yrs,,
$10 a Day ChildCareBC Centre - Fraserview Child Development Centre (Infant/Toddler),Group Daycare (under 36 mths),6363 Lanark Street,236-521-8453,fraserview@develop.bc.ca,,English,0 - 18 mo; 19 - 36 mo,,
$10 a Day ChildCareBC Centre - Frog Hollow NBH House's Satellite Daycare,Group Daycare (under 36 mths),3260 East Broadway,604-428-7510,sarah@froghollow.bc.ca,http://www.froghollow.bc.ca/,English,19 - 36 mo,Reggio Inspired,
$10 a Day ChildCareBC Centre - Frog Hollow NBH House's Satellite Daycare (3-5 Program),Group Daycare (30mths - School Age),3260 East Broadway,604-428-7510,sarah@froghollow.bc.ca,http://www.froghollow.bc.ca/,English,2.5 - 5 yrs,Play Based,
$10 a Day ChildCareBC Centre - Grandview Terrace Childcare Centre,Group Daycare (30mths - School Age),2075 Woodland Drive,604-718-5846,grandviewcc@shawbiz.ca,,English; Spanish; Russian; French; Italian,2.5 - 5 yrs,Play Based,
$10 a Day ChildCareBC Centre - Grandview Terrace Childcare II (Out of School),Group Care School Age,2065 Woodland Drive,604-718-5846,grandviewcc@shawbiz.ca,,English; Hindi; French; Cantonese,5 - 12 yrs,,Grandview; Queen Alexandra; Anne Hebert; Queen Victoria Annex
$10 a Day ChildCareBC Centre - Harbourview Daycare,Group Daycare (30mths - School Age),540 North Penticton Street,604-254-5233,childcare@kiwassa.ca,,English; Mandarin; Hindi; Cantonese,2.5 - 5 yrs,Play Based,
$10 a Day ChildCareBC Centre - Hastings Park Child Care Centre (Infant/Toddler),Group Daycare (under 36 mths),150 Renfrew N,236-521-4589,childcare@kiwassa.ca,,English,0 - 18 mo; 19 - 36 mo,,
$10 a Day ChildCareBC Centre - Hastings Park Childcare (3-5 Program),Group Daycare (30mths - School Age),150 Renfrew N,236-521-4589,childcare@kiwassa.ca,,English,2.5 - 5 yrs,,
$10 a Day ChildCareBC Centre - Hastings Park Childcare (Multi-Age),Multi-Age Child Care,Rm 102A - 150 Renfrew N,236-521-4589,childcare@kiwassa.ca,,English,5 - 12 yrs; 2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,,Hastings
$10 a Day ChildCareBC Centre - Huckleberry Daycare - Toddler Program,Group Daycare (under 36 mths),101 - 2725 Osoyoos Cresent,604-822-5343,childcare@housing.ubc.ca,,English; Mandarin; Serbian,19 - 36 mo,Play Based,
$10 a Day ChildCareBC Centre - Hummingbird Daycare (Infant/Toddler),Group Daycare (under 36 mths),6363 Agronomy Rd,604-822-5343,childcare@housing.ubc.ca,,English,0 - 18 mo; 19 - 36 mo,,
$10 a Day ChildCareBC Centre - International Village Children's Centre - 3 - 5 Program,Group Daycare (30mths - School Age),680 Abbott Street,604-718-6555,info@vsocc.org,http://www.vsocc.org/,English,2.5 - 5 yrs,,
$10 a Day ChildCareBC Centre - International Village Children's Centre (Infant/Toddler),Group Daycare (under 36 mths),680 Abbott,604-718-6555,info@vsocc.org,http://www.vsocc.org/,English,0 - 18 mo; 19 - 36 mo,,
$10 a Day ChildCareBC Centre - Kids at G.F. Strong (3-5 Program),Group Daycare (30mths - School Age),4255 Laurel Street,604-737-6256,kidsatgfstrong@develop.bc.ca,,English,2.5 - 5 yrs,Play Based,
$10 a Day ChildCareBC Centre - Kids at G.F. Strong (Infant/Toddler),Group Daycare (under 36 mths),4255 Laurel Street,604-737-6256,kidsatgfstrong@develop.bc.ca,,English,0 - 18 mo; 19 - 36 mo,Play Based,
$10 a Day ChildCareBC Centre - Kids at Heather (Infant/Toddler),Group Daycare (under 36 mths),710 West 12th Avenue,604-873-9011,gv.childcare@bc.ymca.ca,https://gv.ymca.ca/,English; Spanish,0 - 18 mo; 19 - 36 mo,Bilingual,
$10 a Day ChildCareBC Centre - Kids at Heather Daycare (Priority to Employees),Group Daycare (30mths - School Age),710 West 12th Avenue,604-873-9011,gv.childcare@bc.ymca.ca,https://gv.ymca.ca/,English; Spanish; Tagalog; Hindi; Cantonese,2.5 - 5 yrs,Play Based,
$10 a Day ChildCareBC Centre - Kids at Marine YMCA Child Care Centre,Group Daycare (30mths - School Age),8088 Nunavut Lane,604-336-9941,gv.childcare@bc.ymca.ca,http://gv.ymca.ca/,English,2.5 - 5 yrs,,
$10 a Day ChildCareBC Centre - Kids at Marine YMCA Child Care Centre - Toddler Program,Group Daycare (under 36 mths),8088 Nunavut Lane,604-336-9941,gv.childcare@bc.ymca.ca,http://gv.ymca.ca/,English,19 - 36 mo,,
$10 a Day ChildCareBC Centre - Kids in General Child Development Centre,Group Daycare (30mths - School Age),889 West 13th Avenue,604-875-5699,kidsingeneral@develop.bc.ca,,English; Punjabi; Italian,2.5 - 5 yrs,Play Based,
$10 a Day ChildCareBC Centre - Kids in General Child Development Centre (Infant/Toddler),Group Daycare (under 36 mths),889 West 13th Avenue,604-875-5699,kidsingeneral@develop.bc.ca,,English; Punjabi; Italian,0 - 18 mo; 19 - 36 mo,Play Based,
$10 a Day ChildCareBC Centre - Kittiwake Group Day Care,Group Daycare (30mths - School Age),2815 Revelstoke Court,604-822-5343,childcare@housing.ubc.ca,,English,2.5 - 5 yrs,,
$10 a Day ChildCareBC Centre - Kiwassa Variety Club Daycare,Group Daycare (30mths - School Age),2425 Oxford Street,604-254-5401,loric@kiwassa.ca,,English; Mandarin; Punjabi; Cantonese; Vietnamese,2.5 - 5 yrs,Play Based,
$10 a Day ChildCareBC Centre - Langara Child Development Centre,Group Daycare (30mths - School Age),100 West 49th Avenue,604-323-5204,daycare@langara.ca,,English; Spanish; Tagalog; Mandarin; French; Cantonese,2.5 - 5 yrs,Play Based,
$10 a Day ChildCareBC Centre - Langara Child Development Centre - Toddler Program,Group Daycare (under 36 mths),100 West 49th Avenue,604-323-5204,daycare@langara.ca,,English,19 - 36 mo,Play Based,
$10 a Day ChildCareBC Centre - Langara Child Development Centre II,Group Daycare (30mths - School Age),100 West 49th Avenue,604-323-5204,daycare@langara.ca,,English; Spanish; Mandarin; Cantonese; German,2.5 - 5 yrs,Play Based,
$10 a Day ChildCareBC Centre - Learning Tree Group Day Care,Group Daycare (30mths - School Age),4103 Brant Street,604-874-4921,bvilla.tree@yahoo.ca,,English,2.5 - 5 yrs,,
$10 a Day ChildCareBC Centre - Leslie Diamond Early Learning and Care Centre (Infant/Toddler),Group Daycare (under 36 mths),535 Hornby Street,604-895-5817,Ssharma@ywcavan.org,http://www.ywcavan.org/,English; Tagalog; Mandarin; Cantonese; Italian,0 - 18 mo; 19 - 36 mo,Play Based,
$10 a Day ChildCareBC Centre - Library Square Child Care (Infant/Toddler),Group Daycare (under 36 mths),301-345 Robson Street,604-718-6555,info@vsocc.org,http://www.vsocc.org/,English; Mandarin; Serbian; Cantonese; Serbo-Croatian,0 - 18 mo; 19 - 36 mo,Play Based,
$10 a Day ChildCareBC Centre - Library Square Child Care Over Three,Group Daycare (30mths - School Age),401-345 Robson Street,604-718-6555,info@vsocc.org,http://www.vsocc.org/,English; Mandarin; Punjabi; Cantonese,2.5 - 5 yrs,Play Based,
$10 a Day ChildCareBC Centre - Lilliput Daycare (Toddler),Group Daycare (under 36 mths),5690 A Osoyoos Crescent,604-822-5343,childcare@housing.ubc.ca,,English; Farsi,19 - 36 mo,Play Based,
$10 a Day ChildCareBC Centre - Little Beach YMCA Child Care Centre (Toddler),Group Daycare (under 36 mths),1475 Burrard Street,604-683-3417,gv.childcare@bc.ymca.ca,https://gv.ymca.ca/,English; Serbian; Filipino,19 - 36 mo,Play Based,
$10 a Day ChildCareBC Centre - Little Goslings - Infant Program,Group Daycare (under 36 mths),5590 B Osoyoos Crescent,604-822-5343,childcare@housing.ubc.ca,,English,0 - 18 mo,Play Based,
$10 a Day ChildCareBC Centre - Marpole YMCA Child Care Centre,Group Daycare (30mths - School Age),8188 Lord Street,236-476-1223,gv.childcare@bc.ymca.ca,https://gv.ymca.ca/,English,2.5 - 5 yrs,,
$10 a Day ChildCareBC Centre - Marpole YMCA Child Care Centre (Infant/Toddler),Group Daycare (under 36 mths),8188 Lord Street,236-476-1223,gv.childcare@bc.ymca.ca,https://gv.ymca.ca/,English,0 - 18 mo; 19 - 36 mo,,
$10 a Day ChildCareBC Centre - Mole Hill YMCA Child Care,Group Daycare (30mths - School Age),1164 Comox Street,604-684-9628,gv.childcare@bc.ymca.ca,https://gv.ymca.ca/,English; Farsi; Greek,2.5 - 5 yrs,Reggio Inspired,
$10 a Day ChildCareBC Centre - Nelson Park YMCA Preschool,Preschool (30mths - School Age),1155 Thurlow Street,604-417-6257,gv.childcare@bc.ymca.ca,https://gv.ymca.ca/,English,2.5 - 5 yrs,,
$10 a Day ChildCareBC Centre - Osler YMCA Kids Club (School Age on School Grounds),Group Care School Age,5970 Selkirk Street,604-818-9129,ymcakidsclubs@bc.ymca.ca,https://gv.ymca.ca/,English,5 - 12 yrs,,Osler
$10 a Day ChildCareBC Centre - Our House Out of School Care,Group Care School Age,123 West 16th Avenue,604-707-0311,mtpleasantcc@vancouver.ca,http://www.mountpleasantcc.ca/,English,5 - 12 yrs,Emergent/Play Based,Fraser
$10 a Day ChildCareBC Centre - Owl at the Barn (3-5 Program),Group Daycare (30mths - School Age),2323 Main Mall UBC,604-822-5343,childcare@housing.ubc.ca,,English,2.5 - 5 yrs,,
$10 a Day ChildCareBC Centre - Owl at the Barn (Infant/Toddler),Group Daycare (under 36 mths),2323 Main Mall,604-822-5343,childcare@housing.ubc.ca,,English,0 - 18 mo; 19 - 36 mo,,
$10 a Day ChildCareBC Centre - Pacific Spirit Child Care,Group Daycare (30mths - School Age),5580 (A) Osoyoos Cresent,604-822-5343,childcare@housing.ubc.ca,,English; Spanish; Punjabi; French,2.5 - 5 yrs,,
$10 a Day ChildCareBC Centre - Pioggia Group Day Care - Toddler Program,Group Daycare (under 36 mths),2881 Acadia Road,604-822-5343,childcare@housing.ubc.ca,,English,19 - 36 mo,,
$10 a Day ChildCareBC Centre - Pioggia Group Day Care (3-5 Program),Group Daycare (30mths - School Age),2881 Acadia Road,604-822-5343,childcare@housing.ubc.ca,,English,2.5 - 5 yrs,,
$10 a Day ChildCareBC Centre - Playhouse Child Development Centre (Infant/Toddler),Group Daycare (under 36 mths),4107 Brant Street,604-873-6448,playhouse@develop.bc.ca,,English,0 - 18 mo; 19 - 36 mo,Play Based,
$10 a Day ChildCareBC Centre - Portside YMCA Child Care (3-5 Program),Group Daycare (30mths - School Age),151 West Cordova Street,236-521-8610,gv.childcare@bc.ymca.ca,https://gv.ymca.ca/,English,2.5 - 5 yrs,,
$10 a Day ChildCareBC Centre - Portside YMCA Child Care (Toddler),Group Daycare (under 36 mths),151 West Cordova Street,236-521-8610,gv.childcare@bc.ymca.ca,http://gv.ymca.ca/,English,19 - 36 mo,,
$10 a Day ChildCareBC Centre - Quayside Child Care (Infant/Toddler),Group Daycare (under 36 mths),1011 Marinaside Crescent,604-718-6555,info@vsocc.org,http://www.vsocc.org/,English; Spanish,0 - 18 mo; 19 - 36 mo,,
$10 a Day ChildCareBC Centre - Quayside Children's Centre (3-5 Program),Group Daycare (30mths - School Age),1011 Marinaside Crescent,604-718-6555,info@vsocc.org,http://www.vsocc.org/,English; Spanish; Mandarin; French,2.5 - 5 yrs,,
$10 a Day ChildCareBC Centre - Raven,Group Daycare (30mths - School Age),5580 B Osoyoos Cresent,604-822-9717,childcare@housing.ubc.ca,,English,2.5 - 5 yrs,Reggio Inspired,
$10 a Day ChildCareBC Centre - Ray-Cam Centre Out of School Care,Group Care School Age,920 East Hastings Street,604-257-6949,raycamcc@vancouver.ca,,English; Spanish; Cantonese; Portugese; Vietnamese,5 - 12 yrs,,Strathcona; Seymour
$10 a Day ChildCareBC Centre - Raymur Place Day Care,Group Daycare (30mths - School Age),920 East Hastings Street,604-257-6937,raycamcc@vancouver.ca,,English; Spanish; Tagalog,2.5 - 5 yrs,Reggio Inspired,
$10 a Day ChildCareBC Centre - Renfrew Station YMCA Child Care (3-5 Program),Group Daycare (30mths - School Age),Bldg 6 - 2925 Hebb Avenue,604-251-2436,gv.childcare@bc.ymca.ca,https://gv.ymca.ca/,English,2.5 - 5 yrs,,
$10 a Day ChildCareBC Centre - Renfrew Station YMCA Child Care (Infant/Toddler),Group Daycare (under 36 mths),Bldg 6 - 2925 Hebb Avenue,604-251-2436,gv.childcare@bc.ymca.ca,https://gv.ymca.ca/,English,0 - 18 mo; 19 - 36 mo,,
$10 a Day ChildCareBC Centre - Sade Child Care Centre,Group Daycare (under 36 mths),2881 (C) Acadia Road,604-822-5343,childcare@housing.ubc.ca,,English,0 - 18 mo; 19 - 36 mo,,
$10 a Day ChildCareBC Centre - Salal Group Day Care,Group Daycare (30mths - School Age),5655 Osoyoos Crescent,604-822-5343,childcare@housing.ubc.ca,,English,2.5 - 5 yrs,,
$10 a Day ChildCareBC Centre - Salmonberry 3 to 5 Childcare,Group Daycare (30mths - School Age),8131 Chester Street,604-324-9894,jeanette.wong@southvan.org,,English,2.5 - 5 yrs,,
$10 a Day ChildCareBC Centre - Salmonberry Toddler Childcare,Group Daycare (under 36 mths),8131 Chester Street,604-324-9891,jeanette.wong@southvan.org,,English,19 - 36 mo,,
$10 a Day ChildCareBC Centre - Sandpiper Group Day Care,Group Daycare (30mths - School Age),2805 Revelstoke,604-822-5343,childcare@housing.ubc.ca,,English,2.5 - 5 yrs,,
$10 a Day ChildCareBC Centre - Sapphire Children's Centre,Group Daycare (30mths - School Age),1170 West Pender Street,604-718-6555,info@vsocc.org,http://www.vsocc.org/,English,2.5 - 5 yrs,,
$10 a Day ChildCareBC Centre - Sapphire Children's Centre - Toddler Program,Group Daycare (under 36 mths),1170 West Pender Street,604-718-6555,info@vsocc.org,http://www.vsocc.org/,English,19 - 36 mo,,
$10 a Day ChildCareBC Centre - Sarah House Early Learning and Care Centre,Group Daycare (30mths - School Age),5729 Wales Street,604-435-0323,AMerton@cnh.bc.ca,,English; Tagalog; Mandarin; Farsi; Hindi; Cantonese,2.5 - 5 yrs,Play Based,
$10 a Day ChildCareBC Centre - Saw-whet Child Care Centre,Group Daycare (30mths - School Age),2850 B Salmo Ct,604-822-5343,childcare@housing.ubc.ca,,English,2.5 - 5 yrs,,
$10 a Day ChildCareBC Centre - Sea Star Children's Centre (3-5 Program),Group Daycare (30mths - School Age),1451 Homer Street,604-718-6555,info@vsocc.org,http://www.vsocc.org/,English,2.5 - 5 yrs,,
$10 a Day ChildCareBC Centre - Sea Star Children's Centre (Infant/Toddler),Group Daycare (under 36 mths),1451 Homer Street,604-718-6555,info@vsocc.org,http://www.vsocc.org/,English,0 - 18 mo; 19 - 36 mo,,
$10 a Day ChildCareBC Centre - Seymour YMCA Kids Club,Group Care School Age,1130 Keefer Street,778-960-6487,ymcakidsclubs@bc.ymca.ca,https://gv.ymca.ca/,English,5 - 12 yrs,,Seymour
$10 a Day ChildCareBC Centre - Sitka Daycare Centre (Infant/Toddler),Group Daycare (under 36 mths),5620 B Osoyoos Crescent,604-822-5343,childcare@housing.ubc.ca,,English,0 - 18 mo; 19 - 36 mo,,
$10 a Day ChildCareBC Centre - South Hill Child Care Centre - Over Three,Group Daycare (30mths - School Age),508 East 45th Avenue,604-327-8622,southhillchildcare@gmail.com,,English; Tagalog; Mandarin,2.5 - 5 yrs,Reggio Inspired,
$10 a Day ChildCareBC Centre - Strathcona Community Centre (Out of School Care),Group Care School Age,601 Keefer Street,604-713-1848,veronica.light@vancouver.ca,,English,5 - 12 yrs,,Strathcona
$10 a Day ChildCareBC Centre - Strathcona Community Centre Group Child Care - School Age - #1,Group Care School Age,601 Keefer Street,604-713-1854,veronica.light@vancouver.ca,,English,5 - 12 yrs,,Strathcona
$10 a Day ChildCareBC Centre - Strathcona Community Centre Group Child Care - School Age - #2,Group Care School Age,592 East Pender Street,604-713-1854,veronica.light@vancouver.ca,,English,5 - 12 yrs,,Strathcona
$10 a Day ChildCareBC Centre - Strathcona Community Centre Preschool,Preschool (30mths - School Age),Portable Unit- 601 Keefer Street,604-713-1838,veronica.light@vancouver.ca,,English; Mandarin; Cantonese,2.5 - 5 yrs,Play Based,
$10 a Day ChildCareBC Centre - Strathcona Preschool #2,Preschool (30mths - School Age),Rm. E001-592 E. Pender Street,604-713-1855,veronica.light@vancouver.ca,,English; Cantonese,2.5 - 5 yrs,Play Based,
